StartAscending, Stimulus, Value
0,34.5,1
1,15.5,0
0,34,1
1,16,0
0,33.5,1
1,16.5,0
0,33,1
1,17,0
0,32.5,1
1,17.5,0
0,32,1
1,18,0
0,31.5,1
1,18.5,0
0,31,1
1,19,0
0,30.5,1
1,19.5,0
0,30,1
1,20,0
0,29.5,1
1,20.5,0
0,29,1
1,21,0
0,28.5,1
1,21.5,0
0,28,1
1,22,0
0,27.5,1
1,22.5,0
0,27,1
1,23,0
0,26.5,1
1,23.5,1
0,26,0
1,23,0
0,26.5,0
1,23.5,0
0,27,1
1,24,0
0,26.5,1
1,24.5,0
0,26,1
1,25,1
0,25.5,1
1,24.5,0
0,25,1
1,25,0
0,24.5,1
1,25.5,1
0,24,0
1,25,1
0,24.5,0
1,24.5,1
0,25,0
1,24,0
0,25.5,1
1,24.5,1
0,25,1
1,24,1
0,24.5,1
1,23.5,0
0,24,0
1,24,1
0,24.5,0
0,25,0
0,25.5,1
0,25,0
0,25.5,0
0,26,1
0,25.5,0
