Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-40-29-7831300,777.1055,465.5117
16-40-29-9216890,777.1055,465.5117
16-40-30-0698020,777.1055,465.5117
16-40-30-2261610,777.1055,465.5117
16-40-30-3746070,777.1055,465.5117
16-40-30-5339590,777.1055,465.5117
16-40-30-6659190,777.1055,465.5117
16-40-30-8217180,777.1055,465.5117
16-40-30-9782040,777.1055,465.5117
16-40-31-1458940,777.1055,465.5117
16-40-31-3063040,777.1055,465.5117
16-40-31-4637910,777.1055,465.5117
16-40-31-6141680,777.1055,465.5117
16-40-31-7661160,777.1055,465.5117
16-40-31-9259600,777.1055,465.5117
16-40-32-0862620,777.1055,465.5117
16-40-32-2419200,777.1055,465.5117
16-40-32-3737020,777.1055,465.5117
16-40-32-5257360,777.1055,465.5117
16-40-32-6633790,777.1055,465.5117
16-40-32-8222030,777.1055,465.5117
16-40-32-9776280,777.1055,465.5117
16-40-33-1102860,777.1055,465.5117
16-40-33-2784080,777.1055,465.5117
16-40-33-4340880,777.1055,465.5117
16-40-33-5877340,777.1055,465.5117
16-40-33-7539270,777.1055,465.5117
16-40-33-8820860,777.1055,465.5117
16-40-34-0459100,777.1055,465.5117
16-40-34-2059850,777.1055,465.5117
16-40-34-3346820,777.1055,465.5117
16-40-34-4699990,777.1055,465.5117
16-40-34-6059360,777.1055,465.5117
16-40-34-7340610,777.1055,465.5117
16-40-34-8982640,777.1055,465.5117
16-40-35-0539310,777.1055,465.5117
16-40-35-2175250,777.1055,465.5117
16-40-35-3820380,777.1055,465.5117
16-40-35-5378940,777.1055,465.5117
16-40-35-6980930,777.1055,465.5117
16-40-35-8301370,777.1055,465.5117
16-40-35-9782340,777.1055,465.5117
16-40-36-1140260,777.1055,465.5117
16-40-36-2740730,777.1055,465.5117
16-40-36-4297310,777.1055,465.5117
16-40-36-5702450,777.1055,465.5117
16-40-36-7218780,777.1055,465.5117
16-40-36-8621110,777.1055,465.5117
16-40-37-0220100,777.1055,465.5117
16-40-37-1780370,777.1055,465.5117
16-40-37-3340870,777.1055,465.5117
16-40-37-4857140,777.1055,465.5117
16-40-37-6180590,777.1055,465.5117
16-40-37-7777590,777.1055,465.5117
16-40-37-9301030,777.1055,465.5117
16-40-38-0899770,777.1055,465.5117
16-40-38-2174670,777.1055,465.5117
16-40-38-3831870,777.1055,465.5117
16-40-38-5300310,777.1055,465.5117
16-40-38-6987490,777.1055,465.5117
16-40-38-8503110,777.1055,465.5117
16-40-38-9899370,777.1055,465.5117
16-40-39-1179030,777.1055,465.5117
16-40-39-2739430,777.1055,465.5117
16-40-39-4379640,777.1055,465.5117
16-40-39-5974050,777.1055,465.5117
16-40-39-7534610,777.1055,465.5117
16-40-39-8898010,777.1055,465.5117
16-40-40-0259540,777.1055,465.5117
16-40-40-1943490,777.1055,465.5117
16-40-40-3615190,777.1055,465.5117
