Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Using Mouse as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
17-05-40-1184390,912.2148,169.082
17-05-40-2552640,912.2148,169.082
17-05-40-3916690,912.2148,169.082
17-05-40-5521240,912.2148,169.082
17-05-40-7035160,912.2148,169.082
17-05-40-8518040,912.2148,169.082
17-05-40-9920620,912.2148,169.082
17-05-41-1323620,912.2148,169.082
17-05-41-3036820,912.2148,169.082
17-05-41-4394680,912.2148,169.082
17-05-41-6035550,887.3047,195.0352
17-05-41-7632130,736.0156,295.8945
17-05-41-9236670,727.3203,388.0586
17-05-42-0677810,802.7891,491.3516
17-05-42-2032940,933.9063,476.3984
17-05-42-3437350,1185.273,516.3047
17-05-42-5034930,1185.273,516.3047
17-05-42-6637540,1156.059,506.918
17-05-42-7955450,823.2227,362.582
17-05-42-9522150,613.5039,227.9883
17-05-43-1158670,610.418,224.9023
17-05-43-2796280,698.0625,382.4492
17-05-43-4516470,1086.543,558.4336
17-05-43-5837690,999.3789,500.3945
17-05-43-7477050,440.8281,436.0547
17-05-43-9075560,446.043,459.7031
17-05-44-0727030,501.3438,473.6133
17-05-44-2076220,796.5313,557.0859
17-05-44-3636760,1344.781,638.5117
17-05-44-5037910,1344.781,638.5117
17-05-44-6352230,1431.336,641.6406
17-05-44-7917170,1351.313,612.7734
17-05-44-9593430,520.0898,355.7578
17-05-45-0963250,509.6563,355.7578
17-05-45-2316520,509.6563,355.7578
17-05-45-3953790,525.3086,424.4883
17-05-45-5555900,531.5664,426.2305
17-05-45-6834030,531.5664,426.2305
17-05-45-8558160,505.5273,426.2305
17-05-46-0275600,534.0469,433.5313
17-05-46-1874170,1412.914,770.543
17-05-46-3608170,1434.434,781.8008
17-05-46-5114020,1136.031,629.4688
17-05-46-6716870,887.4023,489.3516
17-05-46-8073820,887.4023,489.3516
17-05-46-9487260,823.7578,489.3516
17-05-47-0955840,717.332,442.0547
17-05-47-2563580,717.332,440.0547
17-05-48-0595860,717.332,440.0547
17-05-48-2150710,717.332,440.0547
17-05-48-3833730,717.332,440.0547
17-05-48-5154680,717.332,440.0547
17-05-48-6526230,717.332,440.0547
17-05-48-7912380,717.332,440.0547
