Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
10-07-49-4877810,0,0
10-07-49-6219570,0,0
10-07-49-7617180,0,0
10-07-49-9055290,0,0
10-07-50-0535550,0,0
10-07-50-1897050,0,0
10-07-50-3501840,0,0
10-07-50-5100890,0,0
10-07-50-6696670,0,0
10-07-50-8219350,0,0
10-07-50-9896930,0,0
10-07-51-1416910,0,0
10-07-51-3020180,0,0
10-07-51-4615880,0,0
10-07-51-5897430,0,0
10-07-51-7455560,0,0
10-07-51-9097070,0,0
10-07-52-6575370,0,0
10-07-52-8057210,0,0
10-07-52-9337730,0,0
10-07-53-0915560,0,0
10-07-53-2418970,0,0
