Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (718.0, 384.0)
Current resolution is (1436.0, 768.0)
Using Mouse as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
11-06-48-3477290,720.5391,451.207
11-06-48-4102320,720.5391,451.207
11-06-48-4384670,720.5391,451.207
11-06-48-4665280,720.5391,451.207
11-06-48-5037680,720.5391,451.207
11-06-48-5665060,720.5391,451.207
11-06-48-5945730,720.5391,451.207
11-06-48-6394090,720.5391,451.207
11-06-48-6788400,720.5391,451.207
11-06-48-7229210,720.5391,451.207
11-06-48-7432560,720.5391,451.207
11-06-48-8111590,720.5391,451.207
11-06-48-8393550,720.5391,451.207
11-06-48-8663020,720.5391,451.207
11-06-48-8986550,720.5391,451.207
11-06-48-9660380,720.5391,451.207
11-06-48-9995270,720.5391,451.207
11-06-49-0305080,720.5391,451.207
11-06-49-0589280,720.5391,451.207
11-06-49-0987120,720.5391,451.207
11-06-49-1702740,720.5391,451.207
11-06-49-2107080,720.5391,451.207
11-06-49-2424930,720.5391,451.207
11-06-49-2789540,720.5391,451.207
11-06-49-3186650,720.5391,451.207
11-06-49-3461950,720.5391,451.207
11-06-49-3867130,720.5391,451.207
11-06-49-4225760,720.5391,451.207
11-06-49-4589160,720.5391,451.207
11-06-49-5346070,720.5391,451.207
11-06-49-5746810,720.5391,451.207
11-06-49-6061030,720.5391,451.207
11-06-49-6388740,720.5391,451.207
11-06-49-6701100,720.5391,451.207
11-06-49-7064340,720.5391,451.207
11-06-49-7389960,720.5391,451.207
11-06-49-8024980,720.5391,451.207
11-06-49-8301020,720.5391,451.207
11-06-49-8623010,729.5391,432.207
11-06-49-8988760,753.1875,415.5156
11-06-49-9578670,817.8789,412.3828
11-06-49-9947060,843.9609,420.7305
11-06-50-0224530,855.4375,426.9922
11-06-50-0860760,853.6992,453.0742
11-06-50-1183630,832.832,461.4219
11-06-50-1502800,809.8789,454.1172
11-06-50-1823930,795.2734,423.8594
11-06-50-2184630,791.0977,404.0352
11-06-50-2902630,813.3555,392.2109
11-06-50-3182080,822.7461,392.2109
11-06-50-3585680,833.1797,404.7344
11-06-50-3901650,830.0508,421.4258
11-06-50-4184310,821.0078,431.8594
11-06-50-4823820,792.8359,447.5117
11-06-50-5223360,786.5781,439.1641
11-06-50-5585730,786.5781,432.9023
11-06-50-5984200,786.5781,432.9023
11-06-50-6264070,786.5781,432.9023
11-06-50-6666560,786.5781,432.9023
11-06-50-7028380,786.5781,432.9023
11-06-50-7429360,786.5781,432.9023
11-06-50-8063190,786.5781,432.9023
11-06-50-8425550,786.5781,432.9023
11-06-50-8780000,786.5781,432.9023
11-06-50-9102900,786.5781,432.9023
11-06-50-9514530,786.5781,432.9023
11-06-51-7151960,786.5781,432.9023
11-06-51-7462440,786.5781,432.9023
11-06-51-7827340,786.5781,432.9023
11-06-51-8501890,786.5781,432.9023
11-06-51-8821650,786.5781,432.9023
11-06-51-9143710,786.5781,432.9023
11-06-51-9464700,785.5781,431.9023
11-06-51-9780540,768.5352,404.7773
11-06-52-0378450,756.0156,358.8672
11-06-52-0701270,762.2734,336.957
11-06-52-1106290,796.707,325.4805
11-06-52-1420250,799.8359,343.2188
11-06-52-2019600,771.6641,407.9063
11-06-52-2340480,744.5391,431.9023
11-06-52-2702180,722.625,433.9922
11-06-52-3061810,711.4961,411.0352
11-06-52-3662430,728.1914,359.9102
11-06-52-3982270,755.3203,356.7813
11-06-52-4302520,772.707,356.7813
11-06-52-4626080,776.8828,356.7813
11-06-52-4981300,772.5781,351.6953
11-06-52-5384620,725.625,329.7813
11-06-52-5978760,595.2031,350.6523
11-06-52-6302060,569.8164,385.082
11-06-52-6620560,569.8164,420.5547
11-06-52-7261800,605.2891,461.25
11-06-52-7621550,632.7656,467.1602
11-06-52-8025140,675.543,470.2891
11-06-52-8340660,711.0195,477.5938
11-06-52-8621490,723.5391,496.375
11-06-52-9298910,724.582,555.8477
11-06-52-9701350,719.3672,565.2383
11-06-52-9988410,719.3672,565.2383
11-06-53-0380340,719.3672,565.2383
11-06-53-0697110,719.3672,565.2383
11-06-53-1023380,719.3672,565.2383
11-06-53-1663700,719.3672,573.5859
11-06-53-1983440,711.0195,630.9688
11-06-53-2259320,705.8008,656.0117
11-06-53-2584720,696.4102,712.3516
11-06-53-3304190,687.7148,759.3047
11-06-53-3659190,685.6289,768.6953
11-06-53-4064860,682.5,779.1289
11-06-53-4341960,681.457,789.5625
11-06-53-4745380,679.7188,798.2578
11-06-53-5059080,679.7188,799.6484
11-06-53-5424240,679.7188,799.6484
11-06-53-6143470,679.7188,799.6484
11-06-53-6462500,679.7188,799.6484
11-06-53-6822170,679.7188,799.6484
11-06-53-7143860,679.7188,799.6484
11-06-53-7462750,679.7188,800.6484
11-06-53-7781890,680.4141,801.3438
11-06-53-8421600,681.457,803.3867
11-06-53-8742300,681.457,804.082
11-06-53-9103770,682.1523,804.7773
11-06-53-9420790,682.1523,806.5195
11-06-53-9783620,683.1953,808.2578
11-06-54-0186130,683.1953,808.2578
11-06-54-0861020,683.1953,809.2578
11-06-54-1222500,683.1953,809.2578
11-06-54-1497990,683.1953,809.2578
11-06-54-1823040,683.1953,809.2578
11-06-54-2230850,683.1953,809.2578
11-06-54-2867070,683.1953,809.2578
11-06-54-3218840,683.1953,809.2578
11-06-54-3622200,683.1953,809.2578
11-06-54-3943020,683.1953,809.2578
11-06-54-4302200,683.1953,809.2578
11-06-54-4621090,683.1953,809.2578
11-06-54-5263330,683.1953,809.2578
11-06-54-5660720,683.1953,809.2578
11-06-54-5941610,683.1953,809.2578
11-06-54-6344330,683.1953,809.2578
11-06-54-6699530,683.1953,809.2578
11-06-54-7059570,683.1953,809.2578
11-06-54-7380810,683.1953,809.2578
11-06-54-7778840,683.1953,809.2578
11-06-54-8462270,683.1953,809.2578
11-06-54-8778310,683.1953,809.2578
11-06-54-9228830,683.1953,809.2578
11-06-54-9464450,683.1953,809.2578
11-06-55-0143500,683.1953,809.2578
11-06-55-0464670,683.1953,809.2578
11-06-55-0819380,683.1953,809.2578
11-06-55-1142150,683.1953,809.2578
11-06-55-1463660,683.1953,809.2578
11-06-55-1783460,683.1953,809.2578
11-06-55-2193920,683.1953,809.2578
11-06-55-2861300,683.1953,809.2578
11-06-55-3266860,683.1953,809.2578
11-06-55-3621260,683.1953,809.2578
11-06-55-3981020,683.1953,809.2578
11-06-55-4340350,683.1953,809.2578
11-06-55-4744830,683.1953,809.2578
11-06-55-5102800,683.1953,809.2578
11-06-55-5511440,683.1953,809.2578
11-06-55-5862530,683.1953,809.2578
11-06-55-6265410,683.1953,809.2578
11-06-55-6860980,683.1953,809.2578
11-06-55-7263460,683.1953,809.2578
11-06-55-7581850,683.1953,809.2578
11-06-55-7856220,683.1953,809.2578
11-06-55-8263460,683.1953,809.2578
11-06-55-8673400,683.1953,809.2578
11-06-55-9070270,683.1953,809.2578
11-06-55-9705940,683.1953,809.2578
11-06-56-0063130,683.1953,809.2578
11-06-56-0382930,683.1953,809.2578
11-06-56-0739500,683.1953,809.2578
11-06-56-1144830,683.1953,809.2578
11-06-56-1461530,683.1953,809.2578
11-06-56-1824750,683.1953,809.2578
11-06-56-2225540,683.1953,809.2578
11-06-56-2901870,683.1953,809.2578
11-06-56-3305600,683.1953,809.2578
11-06-56-3659700,683.1953,809.2578
11-06-56-4016030,683.1953,809.2578
11-06-56-4385240,683.1953,809.2578
11-06-56-4784740,683.1953,809.2578
11-06-56-5183950,683.1953,809.2578
11-06-56-5501630,683.1953,809.2578
11-06-56-5907560,683.1953,809.2578
11-06-56-6304460,683.1953,809.2578
11-06-56-6618890,683.1953,809.2578
11-06-56-7023820,683.1953,809.2578
11-06-56-7751090,683.1953,809.2578
11-06-56-8062160,683.1953,809.2578
11-06-56-8379390,683.1953,809.2578
11-06-56-8749700,683.1953,809.2578
11-06-56-9101530,683.1953,809.2578
11-06-56-9463510,683.1953,809.2578
11-06-56-9865600,683.1953,809.2578
11-06-57-0183670,683.1953,809.2578
11-06-57-0858170,683.1953,809.2578
11-06-57-1180420,683.1953,809.2578
11-06-57-1498250,683.1953,809.2578
11-06-57-1906160,683.1953,809.2578
11-06-57-2188500,683.1953,809.2578
11-06-57-2943130,683.1953,809.2578
11-06-57-3296860,683.1953,809.2578
11-06-57-3702460,683.1953,809.2578
11-06-57-4062010,683.1953,809.2578
11-06-57-4419470,683.1953,809.2578
11-06-57-4783520,683.1953,809.2578
11-06-57-5185960,683.1953,809.2578
11-06-57-5499650,683.1953,809.2578
11-06-57-5902160,683.1953,809.2578
11-06-57-6312190,683.1953,809.2578
11-06-57-6674820,683.1953,809.2578
11-06-57-7020340,683.1953,809.2578
11-06-57-7425670,683.1953,809.2578
11-06-57-7789170,683.1953,809.2578
11-06-57-8499210,683.1953,809.2578
11-06-57-8904860,683.1953,809.2578
11-06-57-9216890,683.1953,809.2578
11-06-57-9629230,683.1953,809.2578
11-06-57-9982160,683.1953,809.2578
11-06-58-0336060,683.1953,809.2578
11-06-58-0741640,683.1953,809.2578
11-06-58-1143870,683.1953,809.2578
11-06-58-1463460,683.1953,809.2578
11-06-58-1822960,683.1953,809.2578
11-06-58-2178740,683.1953,809.2578
11-06-58-2581690,683.1953,809.2578
11-06-58-3263520,683.1953,809.2578
11-06-58-3628100,683.1953,809.2578
11-06-58-3979220,683.1953,809.2578
11-06-58-4337790,683.1953,809.2578
11-06-58-4660770,683.1953,809.2578
11-06-58-5020130,683.1953,809.2578
11-06-58-5421000,683.1953,809.2578
11-06-58-5831070,683.1953,809.2578
11-06-58-6541360,683.1953,809.2578
11-06-58-6858390,683.1953,809.2578
11-06-58-7221700,683.1953,809.2578
11-06-58-7538590,683.1953,809.2578
11-06-58-7856830,683.1953,809.2578
11-06-58-8220420,683.1953,809.2578
11-06-58-8949850,683.1953,809.2578
11-06-58-9216920,683.1953,809.2578
11-06-58-9627770,683.1953,809.2578
11-06-58-9939040,683.1953,809.2578
11-06-59-0257760,683.1953,809.2578
11-06-59-0578120,683.1953,809.2578
11-06-59-1347030,683.1953,809.2578
11-06-59-1616660,683.1953,809.2578
11-06-59-1976380,683.1953,809.2578
11-06-59-2260380,683.1953,809.2578
11-06-59-2580500,683.1953,809.2578
11-06-59-3219210,683.1953,809.2578
11-06-59-3495110,683.1953,809.2578
11-06-59-3819480,683.1953,809.2578
11-06-59-4462100,683.1953,809.2578
11-06-59-4777900,683.1953,809.2578
11-06-59-5059220,683.1953,809.2578
11-06-59-5380770,683.1953,809.2578
11-06-59-6054090,683.1953,809.2578
11-06-59-6381140,683.1953,809.2578
11-06-59-6980540,683.1953,809.2578
11-06-59-6986750,683.1953,809.2578
11-06-59-7540530,683.1953,809.2578
11-06-59-7948380,683.1953,809.2578
11-06-59-8302930,683.1953,809.2578
11-06-59-8705350,683.1953,809.2578
11-06-59-9142030,683.1953,809.2578
11-06-59-9382940,683.1953,809.2578
11-07-00-0139450,683.1953,809.2578
11-07-00-0461140,683.1953,809.2578
11-07-00-0818560,683.1953,809.2578
11-07-00-1134490,683.1953,809.2578
11-07-00-1543790,683.1953,809.2578
11-07-00-1857180,683.1953,809.2578
11-07-00-2181670,683.1953,809.2578
11-07-00-2582690,683.1953,809.2578
11-07-00-3255640,683.1953,809.2578
11-07-00-3660640,683.1953,809.2578
11-07-00-4025570,683.1953,809.2578
11-07-00-4426550,683.1953,809.2578
11-07-00-4740330,683.1953,809.2578
11-07-00-5143130,683.1953,809.2578
11-07-00-5419550,683.1953,809.2578
11-07-00-6059090,683.1953,809.2578
11-07-00-6418310,683.1953,809.2578
11-07-00-6820400,683.1953,809.2578
11-07-00-7134980,683.1953,809.2578
11-07-00-7457840,683.1953,809.2578
11-07-00-7821400,683.1953,809.2578
11-07-00-8178040,683.1953,809.2578
11-07-00-8856210,683.1953,809.2578
11-07-00-9177570,683.1953,809.2578
11-07-00-9579920,683.1953,809.2578
11-07-00-9897860,683.1953,809.2578
11-07-01-0261020,683.1953,809.2578
11-07-01-0578960,683.1953,809.2578
11-07-01-0984070,683.1953,809.2578
11-07-01-1656760,683.1953,809.2578
11-07-01-2015970,683.1953,809.2578
11-07-01-2375970,683.1953,809.2578
11-07-01-2748890,683.1953,809.2578
11-07-01-3140670,683.1953,809.2578
11-07-01-3459510,683.1953,809.2578
11-07-01-3779000,683.1953,809.2578
11-07-01-4188720,683.1953,809.2578
11-07-01-4773940,683.1953,809.2578
11-07-01-5179960,683.1953,809.2578
11-07-01-5582590,683.1953,809.2578
11-07-01-5941480,683.1953,809.2578
11-07-01-6262640,683.1953,809.2578
11-07-01-6580090,683.1953,809.2578
11-07-01-7260110,683.1953,809.2578
11-07-01-7578120,683.1953,809.2578
11-07-01-7897690,683.1953,809.2578
11-07-01-8261610,683.1953,809.2578
11-07-01-8579180,683.1953,809.2578
11-07-01-8984610,683.1953,809.2578
11-07-01-9699200,683.1953,809.2578
11-07-02-0021440,683.1953,809.2578
11-07-02-0379280,683.1953,809.2578
11-07-02-0734670,683.1953,809.2578
11-07-02-1057360,683.1953,809.2578
11-07-02-1380250,683.1953,809.2578
11-07-02-1784620,683.1953,809.2578
11-07-02-2458450,683.1953,809.2578
11-07-02-2818230,683.1953,809.2578
11-07-02-3137250,683.1953,809.2578
11-07-02-3501350,683.1953,809.2578
11-07-02-3902000,683.1953,809.2578
11-07-02-4219720,683.1953,809.2578
11-07-02-4621660,683.1953,809.2578
11-07-02-4981530,683.1953,809.2578
11-07-02-5390650,683.1953,809.2578
11-07-02-6055510,683.1953,809.2578
11-07-02-6466380,683.1953,809.2578
11-07-02-6816000,683.1953,809.2578
11-07-02-7225970,683.1953,809.2578
11-07-02-7539400,683.1953,809.2578
11-07-02-7950690,683.1953,809.2578
11-07-02-8215430,683.1953,809.2578
11-07-02-8935700,683.1953,809.2578
11-07-02-9257440,683.1953,809.2578
11-07-02-9657650,683.1953,809.2578
11-07-03-0018760,683.1953,809.2578
11-07-03-0420490,683.1953,809.2578
11-07-03-0775840,683.1953,809.2578
11-07-03-1097520,683.1953,809.2578
11-07-03-1415850,683.1953,809.2578
11-07-03-1867620,683.1953,809.2578
11-07-03-2178520,683.1953,809.2578
11-07-03-2825810,683.1953,809.2578
11-07-03-3220950,683.1953,809.2578
11-07-03-3536480,683.1953,809.2578
11-07-03-3950040,683.1953,809.2578
11-07-03-4254910,683.1953,809.2578
11-07-03-4615070,683.1953,809.2578
11-07-03-5019970,683.1953,809.2578
11-07-03-5655420,683.1953,809.2578
11-07-03-6020710,683.1953,809.2578
11-07-03-6416810,683.1953,809.2578
11-07-03-6693810,683.1953,809.2578
11-07-03-7097140,683.1953,809.2578
11-07-03-7498190,683.1953,809.2578
11-07-03-7860160,683.1953,809.2578
11-07-03-8260370,683.1953,809.2578
11-07-03-8578610,683.1953,809.2578
11-07-03-8981810,683.1953,809.2578
11-07-03-9702380,683.1953,809.2578
11-07-04-0021010,683.1953,809.2578
11-07-04-0376330,683.1953,809.2578
11-07-04-0733700,683.1953,809.2578
11-07-04-1097810,683.1953,809.2578
11-07-04-1459310,683.1953,809.2578
11-07-04-1870500,683.1953,809.2578
11-07-04-2179990,683.1953,809.2578
11-07-04-2816250,683.1953,809.2578
11-07-04-3137760,683.1953,809.2578
11-07-04-3468250,683.1953,809.2578
11-07-04-3774360,683.1953,809.2578
11-07-04-4186410,683.1953,809.2578
11-07-04-4854280,683.1953,809.2578
11-07-04-5217750,683.1953,809.2578
11-07-04-5535570,683.1953,809.2578
11-07-04-5939590,683.1953,809.2578
11-07-04-6255270,683.1953,809.2578
11-07-04-6582690,683.1953,809.2578
11-07-04-7175020,683.1953,809.2578
11-07-04-7578110,683.1953,809.2578
11-07-04-7896910,683.1953,809.2578
11-07-04-8219350,683.1953,809.2578
11-07-04-8585460,683.1953,809.2578
11-07-04-8979930,683.1953,809.2578
11-07-04-9574420,683.1953,809.2578
11-07-04-9977170,683.1953,809.2578
11-07-05-0294510,683.1953,809.2578
11-07-05-0614520,683.1953,809.2578
11-07-05-1020190,683.1953,809.2578
11-07-05-1656240,683.1953,809.2578
11-07-05-1932780,683.1953,809.2578
11-07-05-2303910,683.1953,809.2578
11-07-05-2657200,683.1953,809.2578
11-07-05-3062980,683.1953,809.2578
11-07-05-3458150,683.1953,809.2578
11-07-05-3819980,683.1953,809.2578
11-07-05-4179170,683.1953,809.2578
11-07-05-4856030,683.1953,809.2578
11-07-05-5258650,683.1953,809.2578
11-07-05-5620540,683.1953,809.2578
11-07-05-6017240,683.1953,809.2578
11-07-05-6341060,683.1953,809.2578
11-07-05-6737180,683.1953,809.2578
11-07-05-7095760,683.1953,809.2578
11-07-05-7419350,683.1953,809.2578
11-07-05-7819380,683.1953,809.2578
11-07-05-8181570,683.1953,809.2578
11-07-05-8896530,683.1953,809.2578
11-07-05-9304340,683.1953,809.2578
11-07-05-9661790,683.1953,809.2578
11-07-05-9974820,683.1953,809.2578
11-07-06-0379290,683.1953,809.2578
11-07-06-0695950,683.1953,809.2578
11-07-06-1054930,683.1953,809.2578
11-07-06-1377090,683.1953,809.2578
11-07-06-2016000,683.1953,809.2578
11-07-06-2334450,683.1953,809.2578
