Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Using ScreenCentre as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
11-27-38-0436020,719,382
11-27-38-1818640,719,382
11-27-38-3380410,719,382
11-27-38-4937870,719,382
11-27-38-6540390,719,382
11-27-38-8144170,719,382
11-27-38-9742970,719,382
11-27-39-1418140,719,382
11-27-39-3017690,719,382
11-27-39-4655130,719,382
11-27-39-5976520,719,382
11-27-39-7498190,719,382
11-27-39-8776830,719,382
11-27-40-0299170,719,382
11-27-40-1776470,719,382
11-27-40-3417780,719,382
11-27-40-5026250,719,382
11-27-40-6380250,719,382
11-27-40-8022600,719,382
11-27-40-9658870,719,382
11-27-41-1256250,719,382
11-27-41-2818940,719,382
