Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (899.1, 99.5)
Current resolution is (1920.0, 1080.0)
Using Gaze as gaze data source.
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y,ref_x,ref_y
14-03-35-5193016,953.9519,10.0293,899.0543,99.52228
14-03-35-5353025,954.9733,10.41028,899.0543,99.52228
14-03-35-5523035,955.1372,13.29895,899.0543,99.52228
14-03-35-5683044,956.5866,15.85474,899.0543,99.52228
14-03-35-5843053,957.1414,14.74927,899.0543,99.52228
14-03-35-6013063,958.454,13.57507,899.0543,99.52228
14-03-35-6183073,959.0076,11.43884,899.0543,99.52228
14-03-35-6353083,960.4772,10.91528,899.0543,99.52228
14-03-35-6513092,961.4711,13.47192,899.0543,99.52228
14-03-35-6713103,961.4735,11.18494,899.0543,99.52228
14-03-35-6853111,963.5656,10.05396,899.0543,99.52228
14-03-35-7013120,965.9209,8.872803,899.0543,99.52228
14-03-35-7183130,968.1798,6.835083,899.0543,99.52228
14-03-35-7353140,971.2109,3.76123,899.0543,99.52228
14-03-35-7513149,973.152,1.867554,899.0543,99.52228
14-03-35-7683159,973.5388,-1.244995,899.0543,99.52228
14-03-35-7853168,970.1703,-4.01062,899.0543,99.52228
14-03-35-8013178,969.8685,-4.089233,899.0543,99.52228
14-03-35-8183187,969.2748,-6.824463,899.0543,99.52228
14-03-35-8353197,969.0505,0.3154297,899.0543,99.52228
14-03-35-8513206,968.868,0.09204102,899.0543,99.52228
14-03-35-8683216,971.0801,-2.428833,899.0543,99.52228
14-03-35-8853226,971.2167,-2.018433,899.0543,99.52228
14-03-35-9013235,974.8954,-1.86792,899.0543,99.52228
14-03-35-9183244,974.5563,-2.245239,899.0543,99.52228
14-03-35-9343254,973.6732,-1.581299,899.0543,99.52228
14-03-35-9513263,976.8712,0.3081055,899.0543,99.52228
14-03-35-9683273,980.6935,3.107544,899.0543,99.52228
14-03-35-9843282,989.3759,5.859131,899.0543,99.52228
14-03-36-0023292,990.6191,9.317993,899.0543,99.52228
14-03-36-0183302,992.1559,13.19873,899.0543,99.52228
14-03-36-0343311,994.0347,18.69287,899.0543,99.52228
14-03-36-0513321,995.1938,22.66638,899.0543,99.52228
14-03-36-0673330,1004.212,22.99158,899.0543,99.52228
14-03-36-0843339,1012.49,24.94189,899.0543,99.52228
14-03-36-1103354,1298.54,97.08209,899.0543,99.52228
14-03-36-1253363,1259.918,53.57983,899.0543,99.52228
14-03-36-1413372,1213.152,60.27887,899.0543,99.52228
14-03-36-1583382,1215.443,63.36853,899.0543,99.52228
